date,equity,cash,position,return_pct
2026-07-21,100000,100000,,0.0
2026-07-21,100000,100000,,0.0
2026-07-21,50000,50000,,0.0
2026-07-23,50000,50000,,0.0
2026-07-27,50000,50000,,0.0
2026-07-27,50000,50000,,0.0
2026-07-27,50000,50000,,0.0
2026-07-27,50000,50000,,0.0
2026-07-28,50000,50000,,0.0
2026-07-29,50000,50000,,0.0
2026-07-30,50000,50000,,0.0
2026-07-31,50000,50000,,0.0
2026-08-03,50000,50000,,0.0
2026-08-04,50000,50000,,0.0
2026-08-05,50000,50000,,0.0
2026-08-06,50000,50000,,0.0
2026-08-07,50000,50000,,0.0
2026-08-10,50000,50000,,0.0
2026-08-11,50000,50000,,0.0
2026-08-12,50000,50000,,0.0
2026-08-13,50000,50000,,0.0
2026-08-14,50000,50000,,0.0
2026-08-17,50000,50000,,0.0
2026-08-18,50000,50000,,0.0
2026-08-19,50000,50000,,0.0
2026-08-20,50000,50000,,0.0
2026-08-21,50000,50000,,0.0
2026-08-24,49995.02,177.02,513100,-0.01
2026-08-25,50662.02,177.02,513100,1.32
2026-08-26,50846.02,177.02,513100,1.69
2026-08-27,51444.02,177.02,513100,2.89
2026-08-28,51582.02,177.02,513100,3.16
2026-08-31,51306.02,177.02,513100,2.61
2026-09-01,51530.88,51530.88,,3.06
2026-09-02,51530.88,51530.88,,3.06
2026-09-03,51530.88,51530.88,,3.06
