date,159915_price,159915_change,513100_price,513100_change
2026-04-22,4.3035,0,9.232,0.0
2026-04-23,4.2667,0,9.181,0.0
2026-04-24,4.2067,0,9.3615,0.0
2026-04-27,4.1891,0,9.3495,0.0
2026-04-28,4.1296,0,9.2565,0.0
2026-04-29,4.2339,0,9.3125,0.0
2026-04-30,4.2232,0,9.406,0.0
2026-05-06,4.3394,0,9.788,0.0
2026-05-07,4.4024,0,9.7655,0.0
2026-05-08,4.3602,0,9.9965,0.0
2026-05-11,4.5127,0,10.021,0.0
2026-05-12,4.5205,0,9.928,0.0
2026-05-13,4.6393,0,10.0315,0.0
2026-05-14,4.5392,0,10.1,0.0
2026-05-15,4.5138,0,9.948,0.0
2026-05-18,4.4977,0,9.9055,0.0
2026-05-19,4.4906,0,9.8375,0.0
2026-05-20,4.5059,0,10.003,0.0
2026-05-21,4.4003,0,10.0175,0.0
2026-05-22,4.5255,0,10.063,0.0
2026-05-25,4.6206,0,10.0545,0.0
2026-05-26,4.646,0,10.2265,0.0
2026-05-27,4.6494,0,10.2175,0.0
2026-05-28,4.7412,0,10.2955,0.0
2026-05-29,4.6417,0,10.323,0.0
2026-06-01,4.542,0,10.382,0.0
2026-06-02,4.6628,0,10.435,0.0
2026-06-03,4.7401,0,10.404,0.0
2026-06-04,4.7022,0,10.3535,0.0
2026-06-05,4.5512,0,9.855,0.0
2026-06-08,4.3834,0,10.0145,0.0
2026-06-09,4.5563,0,9.895,0.0
2026-06-10,4.4339,0,9.697,0.0
2026-06-11,4.3853,0,10.0175,0.0
2026-06-12,4.4048,0,10.076,0.0
2026-06-15,4.6356,0,10.377,0.0
2026-06-16,4.7146,0,10.185,0.0
2026-06-17,4.7887,0,10.082,0.0
2026-06-18,4.8871,0,10.3355,0.0
2026-06-22,5.0105,0,10.3175,0.0
2026-06-23,4.8187,0,9.981,0.0
2026-06-24,4.8877,0,9.9405,0.0
2026-06-25,5.0267,0,10.017,0.0
2026-06-26,4.8226,0,9.9005,0.0
2026-06-29,4.8492,0,10.1245,0.0
2026-06-30,4.9945,0,10.284,0.0
2026-07-01,4.9001,0,10.1215,0.0
2026-07-02,4.62,0,9.96,0.0
2026-07-03,4.6228,0,9.954,0.0
2026-07-06,4.54,0,10.082,0.0
2026-07-07,4.5,0,9.9015,0.0
2026-07-08,4.4249,0,9.9315,0.0
2026-07-09,4.6228,0,10.086,0.0
2026-07-10,4.4225,0,10.112,0.0
2026-07-13,4.2882,0,9.9195,0.0
2026-07-14,4.4346,0,10.0305,0.0
2026-07-15,4.3828,0,9.9905,0.0
2026-07-16,4.2545,0,9.8295,0.0
2026-07-17,3.9531,0,9.6855,0.0
2026-07-20,3.9704,0,,
2026-07-21,3.9704,0.0,9.6855,0.0
2026-07-23,4.1127,0.0,9.872,0.0
2026-07-27,4.1127,0.0,9.872,0.0
2026-07-28,3.355,-7.12,2.068,-2.36
2026-07-29,3.402,1.4,2.074,0.29
2026-07-30,3.27,-3.88,2.041,-1.59
2026-07-31,3.368,3.0,2.112,3.48
2026-08-03,3.325,-1.28,2.127,0.71
2026-08-04,3.514,5.68,2.192,3.06
2026-08-05,3.56,1.31,2.267,3.42
2026-08-06,3.54,-0.56,2.244,-1.01
2026-08-07,3.586,1.3,2.266,0.98
